@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4588,'2019/02/13 20:52:22:129',8,-0.015748,-0.007874,-0.094488,-0.031496,-0.015748,-0.007874,-0.015748,-0.007874,-0.015748,-0.015748,0.062992,0.015748,0,0,0,-0.007874,-0.101868,-0.19812,-0.46051,0.859253,-0.442871,-0.757324,0.512207,-1.25,0.8125,1,0,0
4589,'2019/02/13 20:52:22:151',8,-0.023622,-0.047244,0.007874,0,-0.007874,-0.023622,-0.031496,-0.015748,-0.015748,0.007874,-0.007874,0,0.007874,0,0.015748,0,-0.102112,-0.198303,-0.460693,0.85907,-0.440918,-0.765137,0.509277,-1.0625,0.25,0.625,0,0
4590,'2019/02/13 20:52:22:200',8,0.007874,-0.007874,0.149606,0.047244,0.015748,-0.007874,-0.007874,0,-0.007874,-0.031496,-0.023622,-0.023622,0,-0.007874,-0.015748,0,-0.102051,-0.198242,-0.460327,0.859253,-0.43457,-0.759766,0.509277,1.875,-0.125,0.375,0,0
4591,'2019/02/13 20:52:22:234',8,-0.015748,-0.03937,0.023622,0.031496,-0.015748,-0.031496,-0.031496,-0.007874,0.007874,-0.023622,0.015748,-0.015748,-0.007874,0,-0.015748,0,-0.102173,-0.198242,-0.460083,0.859436,-0.437988,-0.75293,0.508301,1.0625,-0.375,0.5625,0,0
4592,'2019/02/13 20:52:22:267',8,-0.015748,0.015748,0.023622,-0.015748,-0.031496,-0.015748,0,0,-0.015748,-0.007874,0.03937,0.007874,0,-0.007874,-0.031496,-0.015748,-0.102234,-0.198242,-0.460205,0.859375,-0.436523,-0.759277,0.510742,-1.3125,0.3125,0.3125,0,0
4593,'2019/02/13 20:52:22:303',8,0,-0.023622,-0.047244,-0.031496,-0.007874,0,-0.007874,-0.007874,-0.007874,-0.031496,0.023622,0.007874,0.007874,0,-0.007874,0,-0.102173,-0.198425,-0.4599,0.859436,-0.442383,-0.758301,0.508789,1.4375,0.9375,0.625,0,0
4594,'2019/02/13 20:52:22:332',8,-0.015748,0,0.047244,-0.007874,0.007874,-0.007874,-0.007874,0,-0.007874,0,-0.031496,0.007874,0,0,0.015748,0,-0.102173,-0.198425,-0.4599,0.859436,-0.445313,-0.751953,0.506348,0.5,0.9375,0.5,0,0
4595,'2019/02/13 20:52:22:352',8,-0.007874,-0.03937,0.015748,0.007874,0.007874,-0.007874,0.007874,0,-0.023622,0.007874,0.007874,0,-0.007874,-0.031496,0.007874,-0.015748,-0.102234,-0.198486,-0.459839,0.859436,-0.445801,-0.755371,0.508301,-0.5625,0.8125,0.375,0,0
4596,'2019/02/13 20:52:22:390',8,0,-0.031496,-0.055118,-0.015748,0,-0.031496,0.007874,-0.015748,-0.015748,-0.03937,0.047244,0,-0.007874,-0.015748,-0.007874,-0.007874,-0.102234,-0.198486,-0.459839,0.859497,-0.451172,-0.758301,0.512695,-0.125,0.0625,0.6875,0,0
4597,'2019/02/13 20:52:22:420',8,-0.015748,0,-0.007874,-0.015748,0,-0.007874,0.015748,-0.007874,0,0.007874,-0.031496,-0.023622,0,-0.007874,0.007874,-0.007874,-0.102356,-0.198669,-0.459534,0.859619,-0.447266,-0.756348,0.509277,1.5,0.0625,0.8125,0,0
